sample,read_id,allele,CAG_count,CAA_count,Repeat_region_length,Repeat_matches_bp,Repeat_insertions_bp,Repeat_complexity_score,Repeat_class,Read_length,Mapping_quality
Control_11,m84137_260214_004236_s1/50137705/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/66915127/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/74580286/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/67045603/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/71107752/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/96012578/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/93391421/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/72025167/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/97124519/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/80087408/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/77728027/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/123339157/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/117834338/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/117967664/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/106563251/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/212074602/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/228526063/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/235079618/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/235471911/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/215156639/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/254085224/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/215550399/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/215679912/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/258803695/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/241960923/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/242157271/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/237504526/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/242747126/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/243467700/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/41028457/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/42010864/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/60489789/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/47188448/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/38537480/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/47579903/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/61015645/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/63898459/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/64357369/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/89981299/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/68747827/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/66520732/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/66456483/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/142214331/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/160104802/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/147262172/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/161547348/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/145099773/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/185337355/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/185731247/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/190383322/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/173673357/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/148899409/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/186188119/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/186647253/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/186516497/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/149227858/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/169872045/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/174655791/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/113772680/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/127075637/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/114035316/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/131139126/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/111346348/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/135005952/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/131924227/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/152374002/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/152437467/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/132319127/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/115083791/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/136841013/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/158204386/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/137955733/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/138152861/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/159318178/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/163187581/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/155255202/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/26085256/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/26150319/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/103285987/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/22479828/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/22413724/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/22479991/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/17828804/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/23659909/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/18088093/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/18089553/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/29689392/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/24316850/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/8849818/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/20644730/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/21234988/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/21498810/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/34277072/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/22086464/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/22087521/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/32900322/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/50660570/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/58264096/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/45615048/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/45745031/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/108006355/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/103942043/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
Control_11,m84137_260214_004236_s1/108792188/ccs,1,8,2,205,193,12,0.05853658536585366,Interrupted,205,60
